"ID","Label","Ort1","Ort2","Geschlecht","Geburt","Tod"
1,"Habsburg, Ferdinand III. (1608–1657), Kaiser des Heiligen Römischen Reiches","Graz","Wien:Kapuzinergruft","m",1608,1657
2,"Thun, Christoph Simon (1582–1635), Großprior des Malteserordens in Ungarn","Kastelpfund","Wien","m",1582,1635
3,"Trauttmansdorff, Maximilian (1584–1650), Obersthofmeister","Gleichenberg in der Steiermark","Wien:Franziskanerkirche","m",1584,1650
4,"Auersperg, Johann Weikhard (1615–1677), Obersthofmeister","Seisenberg in der Krain","Laibach:Franziskanerkirche","m",1615,1677
5,"Dietrichstein, Siegmund Ludwig (1600–1653), Hofkammerpräsident von Innerösterreich","Weixelstätten","Graz","m",1600,1653
6,"Habsburg, Leopold Wilhelm (1614–1662), Statthalter der Spanischen Niederlande","Neustadt im Steinfeld","Wien:Kapuzinergruft","m",1614,1662
7,"Thun, Johann Siegmund (1594–1646), Statthalter von Böhmen","Kastelpfund","Tetschen","m",1594,1646
8,"Bubna, Heinrich Johann (1596–1653), Landeshauptmann von Glatz","Litice im Adlergebirge","Glatz, ▭ Senftenberg im Adlergebirge","m",1596,1653
9,"Breunner, Siegfried Christoph (1569–1651), Statthalter von Niederösterreich","Staatz im Weinviertel","Asparn an der Zaya","m",1569,1651
10,"Kuefstein, Johann Ludwig (1582–1656), Landeshauptmann von Oberösterreich","Greillenstein","Linz an der Donau","m",1582,1656
11,"Kurtz von Senftenau, Ferdinand Siegmund (1592–1659), Reichsvizekanzler","München","Wien","m",1592,1659
12,"Habsburg, Ferdinand II. (1578–1637), Kaiser des Heiligen Römischen Reiches","Graz","Wien, ▭ Graz","m",1578,1637
13,"Lippay, Georg (1600–1666), Erzbischof von Gran","Pressburg","Tyrnau","m",1600,1666
14,"Mannagetta, Johann Wilhelm (1588–1666), Hofarzt","Wilhelmsburg an der Traisen","Wien","m",1588,1666
15,"Mansfeld, Bruno (1576–1644), Oberstjägermeister","Bornstedt im Harz","Wien","m",1576,1644
16,"Marradas, Balthasar (1560–1638), Statthalter von Böhmen","Valencia","Prag","m",1560,1638
17,"Martinitz, Jaroslaus (1582–1649), Oberstburggraf von Prag","Prag","Prag","m",1582,1649
18,"Meggau, Franziska (1609–1676), Obersthofmeisterin","Wien","Wien","w",1609,1676
19,"Oettingen, Ernst (1594–1670), Reichshofratspräsident","Wallerstein","Wien","m",1594,1670
20,"Oettingen, Wolfgang (1629–1708), Obersthofmeister","Wallerstein","Wien, ▭ Wallerstein","m",1629,1708
21,"Dietrichstein, Maximilian (1596–1655), Obersthofmeister","Nikolsburg in Mähren","Wien","m",1596,1655
22,"Slavata, Wilhelm (1572–1652), Oberstkanzler von Böhmen","Čestín","Wien, ▭ Neuhaus in Böhmen","m",1572,1652
23,"Meggau, Leonhard Helfried (1577–1644), Obersthofmeister","Kreuzen im Mühlviertel","Greinburg, ▭ Wien:Franziskanerkirche","m",1577,1644
24,"Thun, Christoph Simon (1615–1643), Mundschenk","Kastelpfund","Brieg, ▭ Glatz","m",1615,1643
25,"Mansfeld, Wolfgang (1575–1638), Geheimer Rat","Bornstedt im Harz","Jauer an der Raab, ▭ Wien:Michaelerkirche","m",1575,1638
26,"Leslie, Walter (1606–1667), Geheimer Rat","Fetternear","Wien","m",1606,1667
27,"Hohenzollern, Georg Friedrich (1604–1633), Kämmerer","Hechingen","Uttenweiler","m",1604,1633
28,"Pálffy, Johann (1588–1646), Ungarischer Kronhüter","Bibersburg","Pressburg","m",1588,1646
29,"Waldstein, Albrecht (1583–1634), Oberbefehlshaber der Streitkräfte","Hermanitz an der Elbe","Eger in Böhmen, ▭ Mies im Böhmerwald:Minoritenkirche, ▭ Walditz in Böhmen:Kartause, ▭ Grätz an der Iser:Kapuzinerkirche","m",1583,1634
30,"Waldstein, Maximilian (1598–1655), Oberstkämmerer","Znaim","Wien:Augustinerkirche","m",1598,1655
31,"Pálffy, Stephan (1586–1646), Ungarischer Kronhüter","Bibersburg","Wien","m",1586,1646
32,"Pálffy, Niklas (1593–1621), Kämmerer","Bibersburg","","m",1593,1621
33,"Pálffy, Paul (1592–1653), Palatin von Ungarn","Bibersburg","Pressburg","m",1592,1653
34,"Pálffy, Niklas (1552–1600), Geheimer Rat","Csábrág","Bibersburg, ▭ Pressburg:Martinsdom","m",1552,1600
35,"Pálffy, Niklas (1619–1679), Ungarischer Kronhüter","Pressburg","Pressburg","m",1619,1679
36,"Stralendorff, Peter Heinrich (1577–1637), Reichsvizekanzler","Heiligenstadt im Eichsfeld","Wien:Minoritenkirche","m",1577,1637
37,"Stralendorff, Leopold (1545–1626), Reichsvizekanzler","Goldebee","Heiligenstadt im Eichsfeld","m",1545,1626
38,"Mörsperg, Julius Neidhard (1590–1642), Geheimer Rat","","","m",1590,1642
39,"Habsburg, Ferdinand IV. (1633–1654), König des Heiligen Römischen Reiches","Wien","Wien:Kapuzinergruft","m",1633,1654
40,"Waldstein, Adam (1569–1638), Oberstburggraf von Prag","Perutz","Prag","m",1569,1638
41,"Carretto, Franz (1593–1651), Markgraf von Grana","Mantova","Madrid, ▭ Wien:Minoritenkirche","m",1593,1651
42,"Gallas, Matthias (1588–1647), Geheimer Rat","Trento","Wien, ▭ Trento","m",1588,1647
43,"Schwarzenberg, Johann Adolf (1615–1683), Obersthofmeister","Waibelskirchen in Lothringen","Laxenburg, ▭ Wien:Augustinerkirche","m",1615,1683
44,"Teuffenbach, Rudolf (1582–1653), Geheimer Rat","Graz","Prag","m",1582,1653
45,"Khevenhüller, Franz Christoph (1588–1650), Geheimer Rat","Landskron in Kärnten","Baden am Gebirge, ▭ Kammer am Attersee","m",1588,1650
46,"Trautson, Johann Franz (1605–1663), Statthalter von Niederösterreich","Wien","Wien:Michaelerkirche","m",1605,1663
47,"Schlick, Heinrich (1583–1650), Hofkriegsratspräsident","Eger in Böhmen","Wien","m",1583,1650
48,"Habsburg, Leopold I. (1640–1705), Kaiser des Heiligen Römischen Reiches","Wien","Wien","m",1640,1705
49,"Liechtenstein von Nikolsburg, Karl (1569–1627), Landeshauptmann von Mähren","Feldsberg im Weinviertel","Prag, ▭ Wranau in Mähren:Paulanerkloster","m",1569,1627
50,"Liechtenstein von Nikolsburg, Maximilian (1578–1643), Oberststallmeister","Feldsberg im Weinviertel","Jauer an der Raab, ▭ Wranau in Mähren:Paulanerkloster","m",1578,1643
51,"Liechtenstein von Nikolsburg, Gundaker (1580–1658), Obersthofmeister","Eisgrub in Mähren","Wilfersdorf im Weinviertel","m",1580,1658
52,"Savelli, Friedrich (1585–1649)","Rom","Rom","m",1585,1649
53,"Colloredo, Johann Baptist (1598–1649)","Colloredo di Monte Albano","Heraklion","m",1598,1649
54,"Lobkowicz, Ulrich Adam (1610–1649), Kämmerer","","","m",1610,1649
55,"Lobkowicz, Wenzel Euseb (1609–1677), Obersthofmeister","Raudnitz an der Elbe","Raudnitz an der Elbe","m",1609,1677
56,"Lobkowicz, Christoph Ferdinand (1614–1658), Statthalter von Schlesien","","Prag","m",1614,1658
57,"Habsburg, Maximilian II. (1527–1576), Kaiser des Heiligen Römischen Reiches","Wien","Regensburg, ▭ Prag","m",1527,1576
58,"Waldstein, Ferdinand Ernst (1624–1657), Oberstlandkämmerer von Böhmen","","Prag","m",1624,1657
59,"Waldstein, Berthold (1604–1632), Kämmerer","","Lützen","m",1604,1632
60,"Waldstein, Maximilian (1627–1706), Reichshofrat","","Wien","m",1627,1706
61,"Waldstein, Burian Lassel (1596–1645), Kämmerer","","Prag","m",1596,1645
62,"Waldstein, Johann Viktorin (1616–1673), Kämmerer","","","m",1616,1673
63,"Waldstein, Karl Ferdinand (1634–1702), Obersthofmeister","","Wien","m",1634,1702
64,"Waldstein, Adam Franz (1625–1666), Kämmerer","","","m",1625,1666
65,"Marschall von Pappenheim, Gottfried Heinrich (1594–1632), Reichshofrat","Treuchtlingen","Lützen, ▭ Prag","m",1594,1632
66,"Marschall von Pappenheim, Wolfgang Adam (1618–1647), Kämmerer","","Prag","m",1618,1647
67,"Tserclaes von Tilly, Johann (1559–1632), Hofkriegsrat","Tilly in Brabant","Ingolstadt, ▭ Oetting am Inn","m",1559,1632
68,"Sinzendorf, Rudolf (1625–1677), Reichshofrat","Ernstbrunn","","m",1625,1677
69,"Piccolomini, Oktavius (1599–1656), Geheimer Rat","Pisa","Wien","m",1599,1656
70,"Esterházy, Niklas (1583–1645), Palatin von Ungarn","Gallandau","Eisenstadt im Burgenland, ▭ Tyrnau","m",1583,1645
71,"Thurn, Heinrich Matthias (1567–1640), Burggraf von Karlstein","Lipnitz an der Sasau","Pernau in Livland, ▭ Reval:Dom","m",1567,1640
72,"Puchheim, Johann Rudolf (1600–1651), Oberstkämmerer","Göllersdorf","Wien:Minoritenkirche","m",1600,1651
73,"Puchheim, Johann Christoph (1605–1657), Geheimer Rat","Göllersdorf","Prag","m",1605,1657
74,"Gonzaga, Hannibal (1602–1668), Obersthofmeister","Bozzolo","Wien:Franziskanerkirche","m",1602,1668
75,"Habsburg, Rudolf II. (1552–1612), Kaiser des Heiligen Römischen Reiches","Wien","Prag","m",1552,1612
76,"Khisl von Kaltenbrunn, Johann Jakob (1565–1638), Oberstkämmerer","Kaltenbrunn an der Laibach","Wien, ▭ Marburg an der Drau","m",1565,1638
77,"Eggenberg, Johann Ulrich (1568–1634), Obersthofmeister","Graz","Laibach, ▭ Graz","m",1568,1634
78,"Porcia, Johann Ferdinand (1605–1665), Obersthofmeister","Venedig","Wien","m",1605,1665
79,"Lamberg, Johann Maximilian (1608–1682), Obersthofmeister","Brünn in Mähren","Wien","m",1608,1682
80,"Dietrichstein, Ferdinand (1628–1698), Obersthofmeister","Wien","Wien","m",1628,1698
