"Eintrag";"Quelle";"Seite";"Amt";"Hofherr";"Laufnr";"Name";"Dienstbeginn";"Abraitung";"Erstaufnahme";"Quellenkommentar";"Bearbeiterkommentar";"Anmerkung";"Sort";"F41"
"1";"SR 186";"1r";"OHM";"F3";"1";"Christoph Simon Freiherr von Thun zu Roggen und Caldes";"1619";"1635-03-27";"mh";;;;"1619";"10002"
"2";"SR 186";"1r";"OHM";"JC";"0";"Christoph Simon Freiherr von Thun zu Roggen und Caldes";;"1619";"mh";;;;"1618";"10002"
"3";"SR 186";"1v";"GR";"F3";"2a";"Max Reichsgraf von Trauttmansdorff";"1635-04-01";"1650-06-07";"mh";;;;;"10003"
"4";"SR 186";"1r";"OHM";"F3";"2";"Max Reichsgraf von Trauttmansdorff";"1635-04-01";"1650-06-07";"mh";;;;;"10003"
"5";"SR 186";"1r";"GR";"F3";"3a";"Max Reichsfürst von Dietrichstein zu Nikolsburg";"1651-03-05";"1655-11-01";"kw";;;;;"10021"
"6";"SR 186";"1v";"OHM";"F3";"3";"Max Reichsfürst von Dietrichstein zu Nikolsburg";"1651-03-05";"1655-11-01";"mh";;;;;"10021"
"7";"SR 186";"2r";"GR";"F3";"4a";"Johann Waikhardt von Reichsfürst von Auersperg";"1655-12-01";"1657-06-30";"kw";;;;;"10004"
"8";"SR 186";"2r";"OHM";"F3";"4";"Johann Waikhardt von Reichsfürst von Auersperg";"1655-12-01";"1657-06-30";"mh";;;;;"10004"
"9";"SR 186";"2v";"GR";"F3";"1";"Christoph Simon Freiherr von Thun";"1628-01-01";;"kw";;;;"1628";"10002"
"10";"SR 186";"2v";"GR";"F3";"2";"Seyfried Christoph Preiner";"1637-03-24";"1651-08-22";"kw";;;"Sterbevermerk";;"10009"
"11";"SR 186";"2v";"GR";"F3";"3";"Antonius Bischoff zu Wienn";"1637-04-02";;"kw";;;;;"10022"
"12";"SR 186";"2v";"GR";"F3";"4";"Don Balthasar Maradas";"1637-04-02";;"kw";;;;;"10016"
"13";"SR 186";"3r";"GR";"F3";"5";"Leonhardt Helfridt Graf von Meckhau";"1637-04-02";;"mh";;;;;"10024"
"14";"SR 186";"3r";"GR";"F3";"6";"Wolfgang Graf von Mansfeldt";"1637-04-02";;"mh";;;;;"10026"
"15";"SR 186";"3r";"GR";"F3";"7";"Peter Heinrich von Strallendorff";"1637-04-02";"1637-10-18";"mh";;;;;"10037"
"16";"SR 186";"3r";"GR";"F3";"8";"Wilhelm Graf Slabata";"1637-04-02";"1652-01-19";"mh";;;;;"10023"
"17";"SR 186";"3r";"GR";"F3";"9";"Heinrich Graf Schlickh zu Passan";"1637-04-02";"1649-12-31";"mh";;;;;"10049"
"18";"SR 186";"3v";"GR";"F3";"10";"Franz Christoph Khevenhiller Graf zu Frankenburg";"1637-04-02";"1650-06-12";"mh";;;;;"10047"
"19";"SR 186";"3v";"GR";"F3";"11";"Rudolf Freiherr von Tieffenpach";"1637-04-04";;"mh";;;;;"10046"
"20";"SR 186";"3v";"GR";"F3";"12";"Julius Graf von Mersperg";"1637-05-01";;"mh";;;;;"10039"
"21";"SR 186";"3v";"GR";"F3";"13";"Sigismund Ludwig Graf von Dietrichstein auf Hollenburg";"1637-05-01";;"mh";;;;;"10005"
"22";"SR 186";"4r";"GR";"F3";"14";"Adam Graf von Waldtstain";"1637-06-01";"1638-08-24";"mh";;;;;"10041"
"23";"SR 186";"4r";"GR";"F3";"15";"Gundacker Fürst von Liechtenstein";"1637-09-01";;"mh";;;;;"10053"
"24";"SR 186";"4r";"GR";"F3";"16";"Georg Adam Graf von Marteniz";"1638-06-14";"1651-11-12";"mh";;;;;"10121"
"25";"SR 186";"4r";"GR";"F3";"17";"Matthias Graf von Gallas";"1639-12-01";;"mh";;;;;"10043"
"26";"SR 186";"4v";"GR";"F3";"18";"Johann Freiherr von Reckh";"1640-07-01";;"mh";;;;;"10044"
"27";"SR 186";"4v";"GR";"F3";"19";"Ferdinand Sigismund Graf Khurz";"1640-07-01";;"mh";;;;;"10011"
"28";"SR 186";"4v";"GR";"F3";"20";"Ulrich Franz Graf von Kolobrath";"1644-08-08";;"mh";;;;;"10122"
"29";"SR 186";"5r";"GR";"F3";"21";"Johann Franz Trautssohn Graf zu Falckhenstein";"1644-10-10";;"mh";;;;;"10048"
"30";"SR 186";"5r";"GR";"F3";"22";"Johann Rudolf Graf zu Puechheimb";"1645-01-01";;"mh";;;;;"10076"
"31";"SR 186";"5r";"GR";"F3";"23";"Wenzl Eusebius Fürst von Lobkhoviz";"1647-01-22";;"mh";;;;;"10058"
"32";"SR 186";"5r";"GR";"F3";"24";"Maximilian Graf von Waldtstain";"1647-08-08";"1655-02-19";"kw";;;;;"10031"
"33";"SR 186";"5v";"GR";"F3";"25";"Ernst Graf von Öttingen";"1649-12-01";;"mh";;;;;"10019"
"34";"SR 186";"5v";"GR";"F3";"26";"Hans Christoph Graf von Puechhaimb";"1653-07-07";;"mh";;;;;"10077"
"35";"SR 186";"5v";"GR";"F3";"27";"Georg Achas Graf und Herr von Losenstein";"1653-07-07";"1653-11-25";"mh";;;"Sterbevermerk";;"10093"
"36";"SR 186";"5v";"GR";"F3";"28";"David Ungnadt Graf von Weißenwolff";"1653-07-07";;"mh";;;;;"10165"
"38";"SR 186";"6r";"GR";"F3";"29";"Johann Adolf Graf von Schwarzenberg";"1653-08-02";;"mh";;;;;"10045"
"39";"SR 186";"6r";"GR";"F3";"30";"Johann Graf von Rothall";"1653-09-09";;"mh";;;;;"10124"
"40";"SR 186";"6r";"GR";"F3";"31";"Anibal Fürst von Gonzaga";"1654-06-26";;"mh";;;;;"10078"
"41";"SR 186";"6r";"GR";"F3";"32";"Johann Hetwig Graf Nostiz";"1654-07-27";;"mh";;;;;"10095"
"42";"SR 186";"6r";"GR";"F3";"33";"Philipp Graf von Mansfeldt";"1655-02-27";;"mh";;;;;"10146"
"43";"SR 186";"6v";"GR";"F3";"34";"Walter Graf Lesle";"1655-07-02";;"mh";;;;;"10027"
"44";"SR 186";"6v";"GR";"F3";"35";"Friedrich Graf von Caveriani";"1655-08-04";;"mh";;;;;"10169"
"45";"SR 186";"6v";"GR";"F3";"36";"Heinrich Wilhelmb Graf von Starnberg";"1656-01-12";;"mh";;;;;"10091"
"46";"SR 186";"6v";"GR";"F3";"37";"Ferdinand Friedrich Graf von Fürstenberg";"1656-01-13";;"mh";;;;;"10168"
"47";"SR 186";"6v";"GR";"F3";"38";"Ferdinand Graf von Portia und Brugnera";"1656-07-02";;"mh";;;;;"10083"
"48";"SR 186";"7v";"OTs";"F3";"1";"Georg Manriquez Graf von Tessio";"1637-04-24";"1639-05-05";"mh";;;;;"10155"
"50";"SR 186";"7v";"OTs";"F3";"2";"Johann Arbogast Graf von Thun";"1639-09-22";"1640-06-19";"mh";;;;;"10148"
"52";"SR 186";"7v";"OTs";"F3";"3";"Maximilian Ernst Burggraf von Thonau";"1640-09-23";;"mh";;;"Sterbevermerk";;"10167"
"53";"SR 186";"8r";"OTs";"F3";"4";"Jarislav von Hasenburg";"1641-12-09";"1649-07-31";"mh";;;;;"10140"
"55";"SR 186";"8r";"OTs";"F3";"5";"Michael Waywoda";"1649-09-25";;"mh";;;;;"10171"
"56";"SR 186";"8r";"OTs";"F3";"6";"Ferdinand Victor Teuffl";"1656-04-19";;"mh";;;;;"10172"
"58";"SR 186";"8v";"Ms";"F3";"1";"Ulrich Franz Freiherr von Collobrath";"1628-11-01";"1629-01-15";"mh";;;;;"10122"
"60";"SR 186";"8v";"Ms";"F3";"2";"Georg Manrique Graf Conte Tessio";"1633-05-17";"1637-04-24";"mh";;;;;"10155"
"61";"SR 186";"8v";"Ms";"F3";"3";"Don Diego Quiroga";"1635-05-01";;"mh";;;;;"10152"
"63";"SR 186";"8v";"Ms";"F3";"4";"Peter Graf von Serin";"1636-03-26";"1646-09-29";"mh";;;;;"10174"
"64";"SR 186";"9r";"Ms";"F3";"5";"Georg Achaz Höchenfeldter";"1636-11-04";;"mh";;;"abweichender Vorname als Irrtum des Schreibers anzusehen";;"10151"
"66";"SR 186";"9r";"Ms";"F3";"6";"Bernhard Graf von Marteniz";"1636-12-15";"1637-04-20";"mh";;;;;"10176"
"68";"SR 186";"9r";"Ms";"F3";"7";"Carl Gonzaga Markgraf";"1637-05-17";"1640-07-30";"mh";;;;;"10125"
"69";"SR 186";"9r";"Ms";"F3";"8";"Stefan von Pilza Korizinsckhy";"1637-08-01";;"mh";;;;;"10179"
"71";"SR 186";"9r";"Ms";"F3";"9";"Max Ernst Burggraf zu Thonau";"1636-03-13";"1640-09-23";"mh";;;;;"10167"
"72";"SR 186";"9v";"Ms";"F3";"10";"Georg Augustin Khenvenhiller Freiherr";"1637-08-01";"1647-06-10";"mh";;;;;"10181"
"74";"SR 186";"9v";"Ms";"F3";"11";"Franz Wilhelm von Tallenberg";"1639-02-15";"1639-09-22";"mh";;;;;"10182"
"76";"SR 186";"9v";"Ms";"F3";"12";"Michael Alvernia Marquez de Clavesana";"1639-02-25";"1652-05-30";"mh";;;"zu korrigieren auf 25. Januar 1639";;"10183"
"78";"SR 186";"9v";"Ms";"F3";"13";"Christoph Simon Graf von Thun";"1639-06-11";;"mh";;;;;"10025"
"79";"SR 186";"10r";"Ms";"F3";"14";"Jarislav von Hasenburg";"1639-10-01";"1641-12-09";"mh";;;;;"10140"
"81";"SR 186";"10r";"Ms";"F3";"15";"Francesco de Bonacossi";"1639-10-01";;"mh";;;;;"10184"
"82";"SR 186";"10r";"Ms";"F3";"16";"Michael Waywoda";"1639-12-01";"1649-09-25";"mh";;;;;"10171"
"84";"SR 186";"10r";"Ms";"F3";"17";"Franz Ernst von Molart Freiherr";"1640-06-20";"1644-05-23";"mh";;;;;"10186"
"86";"SR 186";"10v";"Ms";"F3";"18";"Albrecht von Zünzendorff Freiherr";"1640-10-03";"1640-12-15";"mh";;;;;"10164"
"88";"SR 186";"10v";"Ms";"F3";"19";"Karl Gottfried Breiner";"1640-12-12";"1642-05-11";"mh";;;;;"10187"
"90";"SR 186";"10v";"Ms";"F3";"20";"Max Graf von Marteniz";"1641-09-03";"1642-10-15";"mh";;;;;"10180"
"92";"SR 186";"10v";"Ms";"F3";"21";"Johann Ambrosius Graf von Thurn";"1642-04-02";"1644-08-28";"mh";;;;;"10185"
"94";"SR 186";"11r";"Ms";"F3";"22";"Ferdinand Ernst Graf von Waldstein";"1643-02-19";"1643-05-24";"mh";;;;;"10061"
"96";"SR 186";"11r";"Ms";"F3";"23";"Johann Sebastian von Halwail";"1643-12-03";"1650-02-18";"mh";;;;;"19840"
"98";"SR 186";"11r";"Ms";"F3";"24";"Joseph Conte Rabatta";"1644-11-06";;"mh";;;;;"10189"
"99";"SR 186";"11r";"Ms";"F3";"25";"Georg Stenkho Wratislav von Mitrowiz";"1644-12-09";;"mh";;;;;"10191"
"100";"SR 186";"11v";"Ms";"F3";"26";"Leo Wilhelm Graf von Khauniz";"1646-03-29";"1648-11-08";"mh";;;;;"10192"
"102";"SR 186";"11v";"Ms";"F3";"27";"Carl Ferdinand Graf von Waldstain";"1646-10-15";;"mh";;;;;"10066"
"103";"SR 186";"11v";"Ms";"F3";"28";"Franz Graf Forgatsch";"1646-10-21";;"mh";;;;;"10195"
"104";"SR 186";"11v";"Ms";"F3";"29";"Wolfgang Graf Artedi";"1646-11-27";;"mh";;;;;"10201"
"105";"SR 186";"12r";"Ms";"F3";"30";"Emerich Palasy Freiherr";"1646-12-22";"1649-04-20";"mh";;;;;"10205"
"107";"SR 186";"12r";"Ms";"F3";"31";"Adam Hersohn Freiherr von Harras";"1647-02-22";;"mh";;;;;"10207"
"108";"SR 186";"12r";"Ms";"F3";"32";"Adolf Graf von Wagensberg";"1647-06-14";"1648-08-28";"mh";;;;;"10208"
"110";"SR 186";"12r";"Ms";"F3";"33";"Adolf Graf von Cronaberg";"1647-07-14";;"mh";;;;;"10324"
